,Station Name,Available Bikes,Empty Slots,Latitude,Longitude
129,St-Antoine / Jean-Paul Riopelle,5,18,45.502939709023714,-73.56064036488532
130,Complexe sportif Claude-Robillard (Émile-Journault),7,12,45.55358456339093,-73.6383855342865
131,Villeray / de Normanville,9,14,45.54718706660108,-73.6184298992157
132,du Square Dorchester / Peel,4,10,45.49969963056761,-73.57193648815155
133,15e avenue / Laurier,11,12,45.55331992800521,-73.56932803988457
134,de la Commune / Berri,11,40,45.51086,-73.54983
135,de la Commune / St-Sulpice,12,31,45.50424245563397,-73.553469479084
136,CHSLD Robert Cliche (de Bellechasse / 16e avenue),7,8,45.557568,-73.579191
137,St-Jacques / des Seigneurs,15,8,45.489185716082275,-73.57190027832984
138,Richmond / des Bassins,12,19,45.48752158511353,-73.56500297784805
139,Métro Champ-de-Mars (Viger / Sanguinet),10,25,45.51025293429709,-73.55677664279938
140,de la Commune / Place Jacques-Cartier,11,69,45.50761009451047,-73.55183601379395
141,St-Antoine / de la Montagne,9,10,45.495369835210354,-73.56859177350998
142,St-Jacques / Guy,7,16,45.491366875439965,-73.57010722160338
143,Métro Georges-Vanier (St-Antoine / Canning),9,8,45.4891,-73.57656
144,Métro Mont-Royal (Utilités publiques / Rivard),18,5,45.52423612093815,-73.58155220746994
145,St-Viateur / Casgrain,8,3,45.527070404438426,-73.59791234135628
146,Peel / Notre-Dame,8,39,45.49544692088696,-73.56329441070557
147,Atwater / Greene,8,17,45.480495143306044,-73.57782661914825
148,Georges-Vanier / Notre-Dame,12,7,45.485047979822774,-73.5719633102417
149,de la Commune / King,22,49,45.49750375338383,-73.55284452438353
150,Smith / Peel,11,8,45.49276061084002,-73.55641052126883
151,William / Robert-Bourassa,7,14,45.49716534003792,-73.55933010578154
152,Ottawa / William,9,6,45.48972725318433,-73.56406286358833
153,des Pins / St-Laurent,15,8,45.51522812881499,-73.5750961303711
154,Émile-Duployé / Sherbrooke,11,11,45.52719536319051,-73.5645255446434
155,Métro Atwater (Atwater / Ste-Catherine),19,16,45.48952522221574,-73.5844581949641
156,Complexe Desjardins (St-Urbain / René-Lévesque),8,32,45.50788520688478,-73.56315059590997
157,de Maisonneuve / Mackay,6,13,45.496496027653734,-73.57870370149612
158,du Mont-Royal / de Brébeuf,10,1,45.52933653055564,-73.57795268297195
159,Ste-Catherine / Union,14,20,45.50373771539475,-73.56948494911194
